STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de measure,PAY_PERIOD,Période de paie,PRICE_BASE,Type de prix,AGGREGATION_OPERATION,Opération d'agrégation,SEX,Sexe,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,BASE_PER,Période de base,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEAN,Moyenne,M,Sexe masculin,2005,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D1,Premier décile,M,Sexe masculin,2005,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D9,Neuvième décile,M,Sexe masculin,2005,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEDIAN,Médiane,M,Sexe masculin,2005,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEDIAN,Médiane,M,Sexe masculin,2006,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D9,Neuvième décile,M,Sexe masculin,2006,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D1,Premier décile,M,Sexe masculin,2006,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEAN,Moyenne,M,Sexe masculin,2006,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEAN,Moyenne,M,Sexe masculin,2007,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D1,Premier décile,M,Sexe masculin,2007,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D9,Neuvième décile,M,Sexe masculin,2007,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEDIAN,Médiane,M,Sexe masculin,2007,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D9,Neuvième décile,M,Sexe masculin,2008,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D1,Premier décile,M,Sexe masculin,2008,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEAN,Moyenne,M,Sexe masculin,2008,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEDIAN,Médiane,M,Sexe masculin,2008,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEDIAN,Médiane,M,Sexe masculin,2009,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D9,Neuvième décile,M,Sexe masculin,2009,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D1,Premier décile,M,Sexe masculin,2009,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEAN,Moyenne,M,Sexe masculin,2009,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEAN,Moyenne,M,Sexe masculin,2010,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D1,Premier décile,M,Sexe masculin,2010,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D9,Neuvième décile,M,Sexe masculin,2010,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEDIAN,Médiane,M,Sexe masculin,2010,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEDIAN,Médiane,M,Sexe masculin,2011,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D9,Neuvième décile,M,Sexe masculin,2011,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D1,Premier décile,M,Sexe masculin,2011,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEAN,Moyenne,M,Sexe masculin,2011,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEAN,Moyenne,M,Sexe masculin,2012,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D1,Premier décile,M,Sexe masculin,2012,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D9,Neuvième décile,M,Sexe masculin,2012,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEDIAN,Médiane,M,Sexe masculin,2012,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEDIAN,Médiane,M,Sexe masculin,2013,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D9,Neuvième décile,M,Sexe masculin,2013,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D1,Premier décile,M,Sexe masculin,2013,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEAN,Moyenne,M,Sexe masculin,2013,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,MEAN,Moyenne,M,Sexe masculin,2014,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D1,Premier décile,M,Sexe masculin,2014,,,,,,A,Valeur normale,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@GENDER_WAGE_GAP(1.1),Écart salarial entre hommes et femmes,I,EU19OECD,19 Membres de l'Union européenne et de l'OCDE,GWP,Gender wage gap,PT_WG_SAL_M_D,Pourcentage du salaire des hommes dans le même décile,_Z,N'est pas applicable,_Z,N'est pas applicable,D9,Neuvième décile,M,Sexe masculin,2014,,,,,,A,Valeur normale,0,Units,1,One
